# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	7179
#@/user_id	ff85f8fa-9b37-4781-86d8-a82aef9341bf
a 	啊	c=21 d=1.40163 t=7179
cheng ji dan 	成績單	c=4 d=3.93629 t=4674
cheng nuo 	承諾	c=2 d=9.50649e-15 t=7179
cheng ru 	誠如	c=1 d=1 t=2077
cheng shu 	成熟	c=1 d=2.33639e-13 t=7179
cheng wei 	成爲	c=1 d=8.13513e-14 t=7179
cheng wen 	成文	c=1 d=1 t=3715
cheng wen fa 	成文法	c=2 d=1.93239 t=3734
cheng xian 	呈現	c=1 d=1.01809e-05 t=7179
cheng xian chu 	呈現出	c=1 d=0.00050296 t=7179
cheng xiang 	丞相	c=1 d=1 t=3155
cheng xu 	程序	c=17 d=0.247506 t=7179
cheng xu she ji 	程序設計	c=1 d=1.70919e-12 t=7179
cheng yuan 	成員	c=0 d=0.000154923 t=7179
cheng zhi wei 	稱之爲	c=2 d=9.97928e-06 t=7179
cheng zhu 	撐住	c=2 d=1.98511 t=3152
chi 	吃	c=3 d=0.0267827 t=7179
chi cun 	尺寸	c=2 d=1.39259 t=3325
chi fan 	吃飯	c=1 d=0.0131675 t=7179
chong 	充	c=1 d=0.116484 t=7179
chong 	衝	c=1 d=1.28534e-12 t=7179
chong dian 	充電	c=3 d=1.0001 t=3814
chong dian qi 	充電器	c=2 d=1.9802 t=2383
chong ming ming 	重命名	c=3 d=1.25314 t=7179
chong qi 	重啓	c=2 d=0.0658748 t=7179
chong qing 	重慶	c=1 d=3.39364e-08 t=7179
chong qing wei shi 	重慶衛視	c=1 d=3.1289e-08 t=7179
chong shi 	重試	c=2 d=1.99005 t=230
chong tu 	衝突	c=1 d=6.20596e-06 t=7179
chong tu bao 	衝突包	c=1 d=1.56586e-11 t=7179
chong xie 	重寫	c=2 d=0.0288686 t=7179
chong xin 	重新	c=7 d=0.029671 t=7179
chong xin bu shu 	重新部署	c=1 d=3.90894e-09 t=7179
chong xin xia zai 	重新下載	c=1 d=0.298197 t=7179
chong xin zai ru 	重新載入	c=1 d=1 t=2167
chong zhuang 	重裝	c=1 d=0.154124 t=7179
chong zi 	蟲子	c=1 d=1.62136e-09 t=7179
chong zuo 	重做	c=1 d=1 t=237
chou 	丑	c=3 d=3.3191e-08 t=7179
chou 	抽	c=2 d=1.98511 t=933
chou bu chou 	丑不醜	c=1 d=3.33041e-07 t=7179
chou le 	抽了	c=1 d=1.27849e-08 t=7179
chou lou 	醜陋	c=1 d=2.22131e-07 t=7179
chou si bo jian 	抽絲剝繭	c=1 d=1.60081e-06 t=7179
chu 	出	c=11 d=8.48532e-05 t=7179
chu 	處	c=1 d=7.2652e-07 t=7179
chu cuo 	出錯	c=1 d=0.0858632 t=7179
chu hao 	初號	c=4 d=0.0116238 t=7179
chu jie 	初解	c=1 d=1 t=1781
chu lai 	出來	c=14 d=0.0528657 t=7179
chu le 	除了	c=3 d=0.000106807 t=7179
chu li 	處理	c=4 d=0.289384 t=7179
chu li qi 	處理器	c=1 d=0.000808767 t=7179
chu ming 	出名	c=2 d=4.94212e-12 t=7179
chu mo ping 	觸摸屏	c=2 d=1.18268 t=3268
chu nv zuo 	處女座	c=1 d=1.02654e-14 t=7179
chu pin 	出品	c=1 d=1 t=3004
chu qi 	初期	c=1 d=6.59421e-14 t=7179
chu qu 	出去	c=1 d=1 t=2117
chu sheng 	畜生	c=1 d=5.16044e-12 t=7179
chu shi 	初始	c=1 d=4.82441e-05 t=7179
chu shi pei zhi 	初始配置	c=1 d=1 t=2702
chu shi she zhi 	初始設置	c=1 d=7.39283e-06 t=7179
chu wen ti 	出問題	c=1 d=1 t=772
chu wu 	儲物	c=1 d=1.86469e-07 t=7179
chu xian 	出現	c=5 d=2.1232e-05 t=7179
chu xue 	初學	c=1 d=0.0256042 t=7179
chu xue zhe 	初學者	c=1 d=0.000617396 t=7179
